mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__learning_rate,param_model__regressor__min_child_samples,param_model__regressor__n_estimators,param_model__regressor__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
393.9766415596008,29.521627160937502,0.5468940258026123,0.09857995916697142,0.019757738947791925,8,188,29,"{'model__regressor__learning_rate': np.float64(0.019757738947791925), 'model__regressor__min_child_samples': 8, 'model__regressor__n_estimators': 188, 'model__regressor__num_leaves': 29}",0.3482142857142857,0.3152428810720268,0.43420062249527025,0.42844528168599516,0.5065344749887337,0.4343439596442873,0.4087827704121424,0.3449907144951617,0.4370873141761039,0.4171877021258247,0.40750300068098316,0.05346451374540442,4
182.2376796245575,29.009661311602137,0.5315348625183105,0.09308884721349224,0.13125960221746916,13,152,17,"{'model__regressor__learning_rate': np.float64(0.13125960221746916), 'model__regressor__min_child_samples': 13, 'model__regressor__n_estimators': 152, 'model__regressor__num_leaves': 17}",0.34917560041385076,0.25431043830922373,0.33769179452968645,0.40043975942572585,0.42019845455132476,0.48307051472775964,0.3514764764764765,0.2813074297715936,0.4434083744061098,0.2995823197319504,0.3620661162343702,0.070014585970168,30
488.7630944252014,32.246673301616546,0.5558020114898682,0.10166038863950952,0.11263495397682352,11,363,62,"{'model__regressor__learning_rate': np.float64(0.11263495397682352), 'model__regressor__min_child_samples': 11, 'model__regressor__n_estimators': 363, 'model__regressor__num_leaves': 62}",0.3115090213231273,0.3585350276389102,0.3192717584369449,0.3761226486897902,0.45667198298777245,0.3644965934897805,0.39596367305751756,0.34497450132334906,0.42217306006595146,0.31468091795033015,0.3664399184963473,0.04545511714880553,24
177.1075712442398,20.024484841571567,0.46891937255859373,0.05238273640055016,0.036004698026165814,21,149,55,"{'model__regressor__learning_rate': np.float64(0.036004698026165814), 'model__regressor__min_child_samples': 21, 'model__regressor__n_estimators': 149, 'model__regressor__num_leaves': 55}",0.38805625476294947,0.31306794593846576,0.41677160965337845,0.41610210236461376,0.46120449047943934,0.3888714042928181,0.40049274568847526,0.3064204335129356,0.392372988724186,0.35517411374535024,0.3838534089162612,0.04508660595710709,9
197.90440888404845,61.01029117227528,0.5211795806884766,0.11115481675184774,0.12330421154764785,10,153,57,"{'model__regressor__learning_rate': np.float64(0.12330421154764785), 'model__regressor__min_child_samples': 10, 'model__regressor__n_estimators': 153, 'model__regressor__num_leaves': 57}",0.33450091628198286,0.2867378843147472,0.31649411308896014,0.36727368236736124,0.4654419321685508,0.39843995722463355,0.31902084022494215,0.3462975656134609,0.39508324542494155,0.33135002998016694,0.3560640166689747,0.04931797276344014,33
281.5155178308487,36.196786121565175,0.5088090896606445,0.07638317790084086,0.09515504917299872,33,290,33,"{'model__regressor__learning_rate': np.float64(0.09515504917299872), 'model__regressor__min_child_samples': 33, 'model__regressor__n_estimators': 290, 'model__regressor__num_leaves': 33}",0.369703067599504,0.25416913848790446,0.30392008475858934,0.45607663890802075,0.479515077513464,0.4117350793251071,0.378702909546744,0.30394952091610183,0.39452648692589076,0.2779065915866181,0.3630204595567944,0.07208467220462283,28
322.57337908744813,19.90028146109691,0.5033496618270874,0.07696062885347159,0.1262699235041672,38,301,51,"{'model__regressor__learning_rate': np.float64(0.1262699235041672), 'model__regressor__min_child_samples': 38, 'model__regressor__n_estimators': 301, 'model__regressor__num_leaves': 51}",0.3726116911712479,0.2899753598755026,0.30197258441992647,0.35751237318881146,0.45928208158355666,0.3503640550127576,0.3694352159468438,0.25631753031973536,0.3342774950210222,0.3283407547339541,0.3420089141273358,0.052585072565867745,40
513.4202253818512,88.91856749641785,0.5538856983184814,0.14456753897586663,0.09968499682166276,19,314,55,"{'model__regressor__learning_rate': np.float64(0.09968499682166276), 'model__regressor__min_child_samples': 19, 'model__regressor__n_estimators': 314, 'model__regressor__num_leaves': 55}",0.31920165795638844,0.2553144812759143,0.31899960019546003,0.42309450721703346,0.4506489257279964,0.41515571351123426,0.3316867549232694,0.36165287839170135,0.3678660867272967,0.3706296885655831,0.36142502944918775,0.05523026616045669,31
188.58535306453706,28.0812124156753,0.4807335615158081,0.03745610435078333,0.1366800773017227,49,152,39,"{'model__regressor__learning_rate': np.float64(0.1366800773017227), 'model__regressor__min_child_samples': 49, 'model__regressor__n_estimators': 152, 'model__regressor__num_leaves': 39}",0.3811061768268066,0.2889926617745163,0.38959727861297044,0.4154137482603636,0.4155509317893975,0.42341059173896156,0.37015082658236176,0.2573328635602924,0.3850167564586604,0.3021105050984112,0.3628682340702742,0.05574885522494061,29
259.4483183383942,49.30196741991015,0.5917499542236329,0.13015747009243941,0.0635129990040384,49,140,44,"{'model__regressor__learning_rate': np.float64(0.0635129990040384), 'model__regressor__min_child_samples': 49, 'model__regressor__n_estimators': 140, 'model__regressor__num_leaves': 44}",0.37040697152097735,0.34404292455879504,0.40728286721889606,0.4047056726527338,0.5159734779987943,0.4170813563244994,0.41685468626135735,0.2881715220156259,0.4400307430929169,0.36410256410256414,0.3968652785747161,0.057798145229122855,6
285.6230389356613,29.109367226059884,0.5622871398925782,0.10333396289968226,0.13032954711310596,5,108,39,"{'model__regressor__learning_rate': np.float64(0.13032954711310596), 'model__regressor__min_child_samples': 5, 'model__regressor__n_estimators': 108, 'model__regressor__num_leaves': 39}",0.31053520098553633,0.27319792911190754,0.25953130465197616,0.4215581410578245,0.4141605902403245,0.36101037889208454,0.3466470745391397,0.3356354482669591,0.4092544518832264,0.38020668802743807,0.3511737207656417,0.054430075278066266,38
278.2748072862625,30.6870747975592,0.5554880619049072,0.1023974026716436,0.06923222772633546,12,162,26,"{'model__regressor__learning_rate': np.float64(0.06923222772633546), 'model__regressor__min_child_samples': 12, 'model__regressor__n_estimators': 162, 'model__regressor__num_leaves': 26}",0.3153769481696267,0.2701142997740845,0.37567928730512257,0.3765683318221116,0.42732317112060725,0.41482965931863724,0.4116375073717319,0.2895875050060073,0.44733913186858487,0.33495400162066835,0.3663409843377182,0.05797189252194917,25
327.69404926300047,22.118429605352645,0.4722887516021729,0.05343540115089077,0.039826360613320774,12,262,50,"{'model__regressor__learning_rate': np.float64(0.039826360613320774), 'model__regressor__min_child_samples': 12, 'model__regressor__n_estimators': 262, 'model__regressor__num_leaves': 50}",0.39685501066098083,0.3030479605558045,0.36116765650248683,0.44701548141402436,0.4252965798434145,0.3876890562050064,0.3424288250378066,0.3651107096340489,0.4030145029137273,0.3266331658291457,0.37582589485964457,0.042425323042728266,12
365.8907147169113,44.52836982292333,0.4858046770095825,0.06779819503554604,0.12569055200289186,9,330,56,"{'model__regressor__learning_rate': np.float64(0.12569055200289186), 'model__regressor__min_child_samples': 9, 'model__regressor__n_estimators': 330, 'model__regressor__num_leaves': 56}",0.3325431764307485,0.2852449924273128,0.3570624461956162,0.33691164327002476,0.502712249274631,0.3216519890677194,0.3532076477250016,0.34949063785781875,0.4173384489373626,0.2934117971587513,0.3549575028344987,0.06028701953292152,34
497.4221027851105,59.21944186306111,0.45676002502441404,0.026689260723917793,0.14724395133156712,13,367,49,"{'model__regressor__learning_rate': np.float64(0.14724395133156712), 'model__regressor__min_child_samples': 13, 'model__regressor__n_estimators': 367, 'model__regressor__num_leaves': 49}",0.28510322159436274,0.33268299099020104,0.3546309838248455,0.37108972532170026,0.4338687121244226,0.3772090188909202,0.4278469340710004,0.26652067499677956,0.3910888858854801,0.3034343248586272,0.35434754725583395,0.05426654086703433,35
